Item Name,Qty,Price (total) (USD) (Conversion from Euro),Item link,Notes
Seeed Studio Xiao RP2040,1,$6.47,https://mauser.pt,All items are from PT stores and have been converted from euro to dollar since I live in Portugal
0.91 Inch Oled,1,$5.31,https://mauser.pt,
1N4148 Diodes,4,$0.41,https://www.digikey.pt,
Cherry MX3A-L1NA,4,$11.24,https://mauser.pt,
PCB,5,$2.00,https://jlcpcb.com,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$25.43,,,
